section,table_or_figure,claim_text,manuscript_value,canonical_value,canonical_artifact,artifact_field,status,action
Abstract,Text,Total canonical shipment records,"10,324","10,324",data/raw/SCMS_Delivery_History_Dataset.csv,len(df),MATCH,Retain
Abstract,Text,Recipient country count,42 countries,42 countries,data/raw/SCMS_Delivery_History_Dataset.csv,df['Country'].nunique(),MATCH,Corrected from 43 to 42
Abstract,Text,Total delayed shipments and overall prevalence,"1,186 (11.488%)","1,186 (11.4878%)",data/raw/SCMS_Delivery_History_Dataset.csv,"df['Delay_Flag'].sum(), mean()",ROUNDING_ONLY,Retain
Abstract,Text,Pre-outcome operational feature count,"39 features (13 cat, 26 num)","39 features (13 cat, 26 num)",backend/artifacts/model_registry/v2/feature_schema.json,len(features),MATCH,Retain
11.1 (Results),Table 2,Logistic Regression PR-AUC inflation,+26.2% (0.3011 -> 0.3800),+26.19% (0.301073 -> 0.379935),research/outputs/tables/random_vs_temporal.csv,"temporal_mean_PR_AUC, random_PR_AUC",ROUNDING_ONLY,Retain
11.1 (Results),Table 2,Random Forest PR-AUC inflation,+47.6% (0.3238 -> 0.4780),+47.63% (0.323805 -> 0.478022),research/outputs/tables/random_vs_temporal.csv,"temporal_mean_PR_AUC, random_PR_AUC",ROUNDING_ONLY,Retain
11.1 (Results),Table 2,CatBoost PR-AUC inflation,+77.3% (0.3164 -> 0.5608),+77.27% (0.316378 -> 0.560842),research/outputs/tables/random_vs_temporal.csv,"temporal_mean_PR_AUC, random_PR_AUC",ROUNDING_ONLY,Retain
11.1 (Results),Table 2,XGBoost PR-AUC inflation,+91.6% (0.2917 -> 0.5591),+91.64% (0.291714 -> 0.559053),research/outputs/tables/random_vs_temporal.csv,"temporal_mean_PR_AUC, random_PR_AUC",ROUNDING_ONLY,Retain
11.1 (Results),Table 2,LightGBM PR-AUC inflation,+99.7% (0.2992 -> 0.5975),+99.71% (0.299211 -> 0.597547),research/outputs/tables/random_vs_temporal.csv,"temporal_mean_PR_AUC, random_PR_AUC",ROUNDING_ONLY,Retain
11.1 (Results),Table 2,Temporal Brier score values,"LogReg: 0.2001, RF: 0.1605, CatBoost: 0.1417, XGB: 0.1395, LGB: 0.1430","LogReg: 0.200092, RF: 0.160486, CatBoost: 0.141748, XGB: 0.139500, LGB: 0.143008",research/outputs/tables/random_vs_temporal.csv,temporal_mean_Brier,MATCH,Corrected earlier text mismatch in Table 2
11.2 (Results),Table 3,CatBoost Platt calibration ECE and Brier,"Brier: 0.1357 +- 0.0556, ECE: 0.0807 +- 0.0501","Brier: 0.135676 +- 0.055623, ECE: 0.080654 +- 0.050076",research/outputs/tables/calibration_summary.csv,"brier_score_mean, expected_calibration_error_mean",ROUNDING_ONLY,Retain
11.2 (Results),Table 3,Random Forest Platt calibration ECE and Brier,"Brier: 0.1317 +- 0.0566, ECE: 0.0866 +- 0.0553","Brier: 0.131692 +- 0.056630, ECE: 0.086627 +- 0.055313",research/outputs/tables/calibration_summary.csv,"brier_score_mean, expected_calibration_error_mean",ROUNDING_ONLY,Retain
11.3 (Results),Table 4,Conditional Median point MAE on development delays,15.62 +- 6.43 days (MedAE: 7.60 +- 0.89 d),15.619226 +- 6.430131 days (MedAE: 7.600000 +- 0.894427 d),research/outputs/tables/severity_summary.csv,"mae_mean, median_ae_mean",ROUNDING_ONLY,Retain
11.3 (Results),Table 4,LightGBM Quantile point MAE on development delays,16.96 +- 4.66 days (MedAE: 8.74 +- 1.64 d),16.964937 +- 4.658277 days (MedAE: 8.736455 +- 1.641061 d),research/outputs/tables/severity_summary.csv,"mae_mean, median_ae_mean",ROUNDING_ONLY,Retain
11.4 (Results),Table 5,CQR Development Median Widths,"80%: 40.55 d, 90%: 106.73 d, 95%: 151.98 d","80%: 40.547294 d, 90%: 106.727916 d, 95%: 151.975737 d",research/outputs/tables/conformal_summary.csv,median_interval_width_mean,ROUNDING_ONLY,Corrected earlier text mismatch in Table 5
12.1 (Benchmark),Table 6,CatBoost locked benchmark classification metrics,"PR-AUC: 0.2709, ROC-AUC: 0.7477, Brier: 0.0527, Recall: 0.7377 (45/61), F1: 0.3358","PR-AUC: 0.270871, ROC-AUC: 0.747693, Brier: 0.052654, Recall: 0.737705, F1: 0.335821",research/outputs/tables/locked_registry_classification.csv,"pr_auc, roc_auc, brier_score, recall, f1_score",ROUNDING_ONLY,Retain
12.1 (Benchmark),Table 6,Random Forest locked benchmark classification metrics,"PR-AUC: 0.3195, ROC-AUC: 0.7898, Brier: 0.0493, Recall: 0.7705 (47/61), F1: 0.3322","PR-AUC: 0.319542, ROC-AUC: 0.789778, Brier: 0.049265, Recall: 0.770492, F1: 0.332155",research/outputs/tables/locked_registry_classification.csv,"pr_auc, roc_auc, brier_score, recall, f1_score",ROUNDING_ONLY,Retain
12.2 (Benchmark),Text,CQR locked benchmark empirical coverage at 90% nominal,"91.80% (56/61, exact CI: [81.90%, 97.28%], width: 46.27 d, Q: 3.3216)","91.8033% (56/61, exact CI: [81.8988%, 97.2849%], width: 46.2748 d, Q: 3.321551)",research/outputs/tables/locked_registry_cqr.csv,"empirical_coverage, exact_ci_95_low, exact_ci_95_high, mean_interval_width, conformal_adjustment_Q",ROUNDING_ONLY,Retain
13 (Decision Utility),Table 7,High-severity delay capture at K=1% and K=5%,"K=1%: Risk 1/15, Uncert 8/15; K=5%: Risk 2/15, Uncert 10/15","K=1%: Risk 1/15, Uncert 8/15; K=5%: Risk 2/15, Uncert 10/15",research/outputs/tables/locked_registry_decision_utility.csv,high_severity_captured,MATCH,Retain
